Transaction Date,Customer ID,Product Description
2014-01-01,1249,citrus fruit
2014-01-01,1249,coffee
2014-01-01,1249,italian sausage
2014-01-01,1249,sausage
2014-01-01,1381,curd
2014-01-01,1381,soda
2014-01-01,1440,med milk
2014-01-01,1440,other vegetables
2014-01-01,1440,delete
2014-01-01,1440,yogurt
2014-01-01,1659,frozen vegetables
2014-01-01,1659,specialty chocolate
2014-01-01,1789,candles
2014-01-01,1789,hamburger meat
2014-01-01,1922,other vegetables
2014-01-01,1922,tropical fruit
2014-01-01,2226,bottled water
2014-01-01,2226,sausage
2014-01-01,2237,bottled water
2014-01-01,2237,Instant food products
2014-01-01,2351,cleaner
2014-01-01,2351,shopping bags
2014-01-01,2542,bottled water
2014-01-01,2542,sliced cheese
2014-01-01,2610,bottled beer
2014-01-01,2610,domestic eggs
2014-01-01,2610,hamburger meat
2014-01-01,2709,frozen vegetables
2014-01-01,2709,yogurt
2014-01-01,2727,frozen potato products
2014-01-01,2727,hamburger meat
2014-01-01,2943,flower (seeds)
2014-01-01,2943,small milk
2014-01-01,2943,yogurt
2014-01-01,2974,berries
2014-01-01,2974,bottled water
2014-01-01,2974,whipped/sour cream
2014-01-01,3681,dishes
2014-01-01,3681,onions
2014-01-01,3681,salad dressing
2014-01-01,3681,whipped/sour cream
2014-01-01,3797,herbs
2014-01-01,3797,med milk
2014-01-01,3797,waffles
2014-01-01,3942,Instant food products
2014-01-01,3942,other vegetables
2014-01-01,3942,yogurt
2014-01-01,3956,chocolate
2014-01-01,3956,shopping bags
2014-01-01,3956,waffles
2014-01-01,3956,yogurt
2014-01-01,4260,brown bread
2014-01-01,4260,soda
2014-01-01,4942,butter
2014-01-01,4942,frozen vegetables
2014-01-02,1175,hamburger meat
2014-01-02,1175,other vegetables
2014-01-02,1809,hard cheese
2014-01-02,1809,root vegetables
2014-01-02,1809,waffles
2014-01-02,1878,dessert
2014-01-02,1878,root vegetables
2014-01-02,1965,chewing gum
2014-01-02,1965,rolls/buns
2014-01-02,1965,soda
2014-01-02,1965,yogurt
2014-01-02,2202,coffee
2014-01-02,2202,sauces
2014-01-02,2475,dishes
2014-01-02,2475,roll products 
2014-01-02,2690,grapes
2014-01-02,2690,rolls/buns
2014-01-02,2690,soda
2014-01-02,2717,fruit/vegetable juice
2014-01-02,2755,beef
2014-01-02,2755,fruit/vegetable juice
2014-01-02,2755,med milk
2014-01-02,3107,rolls/buns
2014-01-02,3107,small milk
2014-01-02,3120,beef
2014-01-02,3120,newspapers
2014-01-02,3120,small milk
2014-01-02,3156,other vegetables
2014-01-02,3156,salad dressing
2014-01-02,3156,soda
2014-01-02,3156,whipped/sour cream
2014-01-02,3220,canned beer
2014-01-02,3220,salty snack
2014-01-02,3243,pot plants
2014-01-02,3243,small milk
2014-01-02,3663,frozen vegetables
2014-01-02,3663,roll products 
2014-01-02,3663,rolls/buns
2014-01-02,3758,domestic eggs
2014-01-02,3758,rolls/buns
2014-01-02,3805,semi-finished bread
2014-01-02,3805,white bread
2014-01-02,4140,curd
2014-01-02,4140,newspapers
2014-01-02,4247,butter
2014-01-02,4247,soda
2014-01-02,4255,italian sausage
2014-01-02,4255,margarine
2014-01-02,4316,candy
2014-01-02,4316,tropical fruit
2014-01-02,4527,brown bread
2014-01-02,4527,curd
2014-01-02,4527,small milk
2014-01-02,4527,yogurt
2014-01-02,4548,other vegetables
2014-01-02,4548,UHT-milk
2014-01-02,4746,margarine
2014-01-02,4746,newspapers
2014-01-02,4887,herbs
2014-01-02,4887,long life bakery product
2014-01-02,4887,other vegetables
2014-01-02,4887,salad dressing
2014-01-02,4887,soap
2014-01-03,1241,cereals
2014-01-03,1241,margarine
2014-01-03,1241,med milk
2014-01-03,1241,oil
2014-01-03,1335,dishes
2014-01-03,1335,domestic eggs
2014-01-03,1335,oil
2014-01-03,1335,waffles
2014-01-03,1339,margarine
2014-01-03,1339,other vegetables
2014-01-03,1362,mustard
2014-01-03,1362,tropical fruit
2014-01-03,1483,dessert
2014-01-03,1483,pastry
2014-01-03,1658,citrus fruit
2014-01-03,1658,flour
2014-01-03,1658,rolls/buns
2014-01-03,1658,soda
2014-01-03,1764,honey
2014-01-03,1764,salty snack
2014-01-03,1864,butter
2014-01-03,1864,oil
2014-01-03,2085,domestic eggs
2014-01-03,2085,soda
2014-01-03,2279,curd
2014-01-03,2279,long life bakery product
2014-01-03,2279,pot plants
2014-01-03,2279,soda
2014-01-03,2514,med milk
2014-01-03,2514,soda
2014-01-03,2595,chewing gum
2014-01-03,2595,rolls/buns
2014-01-03,2602,italian sausage
2014-01-03,2602,med milk
2014-01-03,2602,other vegetables
2014-01-03,2602,root vegetables
2014-01-03,2935,processed cheese
2014-01-03,2935,rolls/buns
2014-01-03,3517,brown bread
2014-01-03,3517,curd
2014-01-03,3737,instant coffee
2014-01-03,3737,shopping bags
2014-01-03,3746,butter
2014-01-03,3746,meat spreads
2014-01-03,3746,other vegetables
2014-01-03,3746,salad dressing
2014-01-03,4146,dessert
2014-01-03,4146,root vegetables
2014-01-03,4625,whipped/sour cream
2014-01-03,4625,white bread
2014-01-03,4664,beef
2014-01-03,4664,rolls/buns
2014-01-03,4822,ice cream
2014-01-03,4822,yogurt
2014-01-04,1052,beef
2014-01-04,1052,shopping bags
2014-01-04,1169,bottled water
2014-01-04,1169,liquor
2014-01-04,1169,other vegetables
2014-01-04,1169,salad dressing
2014-01-04,1852,chocolate
2014-01-04,1852,tropical fruit
2014-01-04,1948,italian sausage
2014-01-04,1948,other vegetables
2014-01-04,1948,sausage
2014-01-04,2361,light bulbs
2014-01-04,2361,whipped/sour cream
2014-01-04,2733,red/blush wine
2014-01-04,2733,soda
2014-01-04,2847,margarine
2014-01-04,2847,soups
2014-01-04,2965,cat food
2014-01-04,2965,dessert
2014-01-04,2965,salty snack
