order_id,item_name
data5_0,burgers
data5_1,chutney
data5_2,turkey
data5_3,mineral water
data5_4,low fat yogurt
data5_5,whole wheat pasta
data5_6,soup
data5_7,frozen vegetables
data5_8,french fries
data5_9,eggs
data5_10,cookies
data5_11,turkey
data5_12,spaghetti
data5_13,mineral water
data5_14,mineral water
data5_15,shrimp
data5_16,turkey
data5_17,turkey
data5_18,meatballs
data5_19,red wine
data5_20,rice
data5_21,spaghetti
data5_22,burgers
data5_23,eggs
data5_24,parmesan cheese
data5_25,ground beef
data5_26,sparkling water
data5_27,mineral water
data5_28,frozen vegetables
data5_29,herb & pepper
data5_30,mineral water
data5_31,turkey
data5_32,frozen vegetables
data5_33,cookies
data5_34,pickles
data5_35,energy bar
data5_36,red wine
data5_37,mineral water
data5_38,pickles
data5_39,spaghetti
data5_40,fresh tuna
data5_41,spaghetti
data5_42,soup
data5_43,escalope
data5_44,soup
data5_45,mineral water
data5_46,mineral water
data5_47,avocado
data5_48,burgers
data5_49,spaghetti
data5_50,fresh tuna
data5_51,spaghetti
data5_52,spaghetti
data5_53,french fries
data5_54,tomato sauce
data5_55,turkey
data5_56,eggs
data5_57,soup
data5_58,turkey
data5_59,spaghetti
data5_60,clothes accessories
data5_61,energy drink
data5_62,soup
data5_63,turkey
data5_64,french fries
data5_65,chocolate
data5_66,herb & pepper
data5_67,cookies
data5_68,shrimp
data5_69,grated cheese
data5_70,burgers
data5_71,cookies
data5_72,yogurt cake
data5_73,soup
data5_74,cookies
data5_75,mineral water
data5_76,eggs
data5_77,grated cheese
data5_78,mint
data5_79,eggs
data5_80,burgers
data5_81,mineral water
data5_82,burgers
data5_83,energy bar
data5_84,energy bar
data5_85,chocolate
data5_86,low fat yogurt
data5_87,asparagus
data5_88,burgers
data5_89,low fat yogurt
data5_90,burgers
data5_91,champagne
data5_92,champagne
data5_93,burgers
data5_94,ham
data5_95,turkey
data5_96,muffins
data5_97,cookies
data5_98,frozen vegetables
data5_99,mineral water
data5_100,burgers
data5_101,turkey
data5_102,ham
data5_103,ground beef
data5_104,ground beef
data5_105,mineral water
data5_106,shrimp
data5_107,shrimp
data5_108,spaghetti
data5_109,shrimp
data5_110,burgers
data5_111,french wine
data5_112,chicken
data5_113,turkey
data5_114,grated cheese
data5_115,mineral water
data5_116,eggs
data5_117,burgers
data5_118,muffins
data5_119,pasta
data5_120,tomatoes
data5_121,ground beef
data5_122,french fries
data5_123,chocolate
data5_124,burgers
data5_125,ground beef
data5_126,grated cheese
data5_127,grated cheese
data5_128,pancakes
data5_129,frozen smoothie
data5_130,carrots
data5_131,chocolate
data5_132,turkey
data5_133,frozen vegetables
data5_134,cookies
data5_135,ground beef
data5_136,turkey
data5_137,frozen vegetables
data5_138,frozen vegetables
data5_139,red wine
data5_140,chocolate
data5_141,chocolate
data5_142,turkey
data5_143,cookies
data5_144,turkey
data5_145,yams
data5_146,rice
data5_147,chocolate
data5_148,shrimp
data5_149,burgers
data5_150,mineral water
data5_151,cookies
data5_152,shrimp
data5_153,shallot
data5_154,shrimp
data5_155,burgers
data5_156,red wine
data5_157,burgers
data5_158,herb & pepper
data5_159,shrimp
data5_160,butter
data5_161,light mayo
data5_162,low fat yogurt
data5_163,herb & pepper
data5_164,burgers
data5_165,turkey
data5_166,cookies
data5_167,escalope
data5_168,pepper
data5_169,frozen vegetables
data5_170,chocolate
data5_171,herb & pepper
data5_172,burgers
data5_173,chocolate
data5_174,muffins
data5_175,ham
data5_176,spaghetti
data5_177,chocolate
data5_178,frozen vegetables
data5_179,candy bars
data5_180,burgers
data5_181,parmesan cheese
data5_182,pancakes
data5_183,eggs
data5_184,frozen vegetables
data5_185,chocolate
data5_186,turkey
data5_187,whole wheat pasta
data5_188,cooking oil
data5_189,frozen vegetables
data5_190,fresh tuna
data5_191,red wine
data5_192,milk
data5_193,french fries
data5_194,milk
data5_195,french fries
data5_196,chocolate
data5_197,burgers
data5_198,shrimp
data5_199,green tea
data5_200,low fat yogurt
data5_201,turkey
data5_202,turkey
data5_203,bug spray
data5_204,oil
data5_205,soup
data5_206,spaghetti
data5_207,turkey
data5_208,ground beef
data5_209,frozen vegetables
data5_210,herb & pepper
data5_211,whole wheat pasta
data5_212,cookies
data5_213,olive oil
data5_214,ground beef
data5_215,mineral water
data5_216,herb & pepper
data5_217,salmon
data5_218,eggs
data5_219,mineral water
data5_220,mineral water
data5_221,shrimp
data5_222,cake
data5_223,turkey
data5_224,frozen vegetables
data5_225,turkey
data5_226,whole wheat pasta
data5_227,eggs
data5_228,ground beef
data5_229,milk
data5_230,spaghetti
data5_231,whole wheat pasta
data5_232,whole wheat pasta
data5_233,spaghetti
data5_234,eggs
data5_235,fresh tuna
data5_236,mineral water
data5_237,frozen vegetables
data5_238,chocolate
data5_239,meatballs
data5_240,low fat yogurt
data5_241,green tea
data5_242,escalope
data5_243,pepper
data5_244,red wine
data5_245,burgers
data5_246,french wine
data5_247,burgers
data5_248,red wine
data5_249,pepper
data5_250,milk
data5_251,french fries
data5_252,almonds
data5_253,burgers
data5_254,milk
data5_255,pancakes
data5_256,mineral water
data5_257,ham
data5_258,salt
data5_259,spaghetti
data5_260,spaghetti
data5_261,frozen vegetables
data5_262,energy drink
data5_263,muffins
data5_264,turkey
data5_265,cookies
data5_266,chocolate
data5_267,spaghetti
data5_268,shrimp
data5_269,burgers
data5_270,pancakes
data5_271,strong cheese
data5_272,grated cheese
data5_273,herb & pepper
data5_274,spaghetti
data5_275,chocolate
data5_276,french fries
data5_277,mineral water
data5_278,eggs
data5_279,escalope
data5_280,cake
data5_281,whole wheat pasta
data5_282,mineral water
data5_283,french fries
data5_284,chocolate
data5_285,frozen vegetables
data5_286,hot dogs
data5_287,chocolate
data5_288,pancakes
data5_289,shrimp
data5_290,chocolate
data5_291,pepper
data5_292,avocado
data5_293,herb & pepper
data5_294,herb & pepper
data5_295,french fries
data5_296,green tea
data5_297,eggs
data5_298,grated cheese
data5_299,french fries
data5_300,burgers
data5_301,herb & pepper
data5_302,grated cheese
